title,date,subject,authenticity
National park expands to protect endangered species International,21 November 2023,Technology,real
Government announces free college education plan Artist,04 November 2023,Politics,real
Tech giant releases first quantum smartphone Another,08 October 2024,Technology,real
Tech giant releases first quantum smartphone Itself,11 June 2023,Education,real
Government announces free college education plan Follow,14 September 2024,Environment,real
Local community wins award for clean energy innovation One,25 August 2023,Politics,real
Government announces free college education plan New,04 November 2023,World,real
National park expands to protect endangered species Matter,27 February 2024,Environment,real
Tech giant releases first quantum smartphone Prevent,25 September 2024,Education,real
National park expands to protect endangered species Away,29 November 2023,Environment,real
Government announces free college education plan Office,24 September 2024,Technology,real
Tech giant releases first quantum smartphone Eat,19 April 2023,Education,real
National park expands to protect endangered species Serious,22 July 2023,Politics,real
UN reports significant drop in global poverty rates Case,24 May 2024,World,real
Government announces free college education plan Hour,05 February 2025,Politics,real
Government announces free college education plan Music,12 May 2023,World,real
UN reports significant drop in global poverty rates Off,07 May 2023,Environment,real
Tech giant releases first quantum smartphone Live,11 February 2024,Education,real
National park expands to protect endangered species Nation,18 November 2023,Politics,real
Tech giant releases first quantum smartphone Image,26 May 2024,Environment,real
Tech giant releases first quantum smartphone Lose,05 October 2023,Education,real
Tech giant releases first quantum smartphone Group,14 July 2023,Environment,real
Tech giant releases first quantum smartphone Continue,11 April 2023,World,real
UN reports significant drop in global poverty rates War,27 January 2025,Education,real
National park expands to protect endangered species Rule,01 June 2024,Technology,real
National park expands to protect endangered species Development,20 October 2023,Environment,real
UN reports significant drop in global poverty rates Source,07 February 2024,Environment,real
UN reports significant drop in global poverty rates Eat,17 September 2024,Politics,real
UN reports significant drop in global poverty rates Economic,04 August 2024,World,real
National park expands to protect endangered species Television,12 November 2024,Politics,real
Tech giant releases first quantum smartphone Present,01 February 2025,Environment,real
UN reports significant drop in global poverty rates Student,03 June 2023,Politics,real
Local community wins award for clean energy innovation Together,29 May 2024,Environment,real
Government announces free college education plan Second,09 December 2024,Technology,real
Government announces free college education plan Low,26 October 2024,Technology,real
